id_usuario,genero_usuario,edad_usuario,fecha_alta,hora_alta
336112,M,21,01-01-17,1:32:11 AM
336114,M,26,01-01-17,1:42:06 AM
336119,F,40,01-01-17,3:06:04 AM
336120,F,43,01-01-17,7:15:26 AM
336141,F,58,01-01-17,11:53:37 AM
336155,F,31,01-01-17,12:45:36 PM
336157,M,35,01-01-17,12:57:42 PM
336159,F,31,01-01-17,12:59:57 PM
336170,F,32,01-01-17,1:39:28 PM
336172,M,39,01-01-17,1:43:54 PM
336193,F,26,01-01-17,3:20:52 PM
336196,M,19,01-01-17,3:33:28 PM
336197,M,36,01-01-17,3:34:52 PM
336199,F,42,01-01-17,3:43:15 PM
336215,M,43,01-01-17,4:45:07 PM
336224,F,62,01-01-17,5:08:26 PM
336230,M,59,01-01-17,5:32:10 PM
336233,F,39,01-01-17,5:57:15 PM
336247,M,48,01-01-17,6:26:42 PM
336248,F,29,01-01-17,6:33:33 PM
336260,F,42,01-01-17,7:09:52 PM
336266,F,55,01-01-17,7:34:46 PM
336271,F,24,01-01-17,7:44:39 PM
336272,F,28,01-01-17,7:44:52 PM
336277,M,31,01-01-17,7:53:46 PM
336281,M,18,01-01-17,8:03:53 PM
336282,M,32,01-01-17,8:07:51 PM
336284,F,23,01-01-17,8:11:06 PM
336296,M,31,01-01-17,8:58:40 PM
336299,F,21,01-01-17,9:09:50 PM
336302,M,60,01-01-17,9:29:23 PM
336303,F,26,01-01-17,9:31:30 PM
336306,F,19,01-01-17,9:50:45 PM
336309,F,23,01-01-17,9:57:12 PM
336313,F,68,01-01-17,10:11:05 PM
336321,M,20,01-01-17,10:52:56 PM
336322,M,37,01-01-17,11:04:18 PM
336325,F,37,01-01-17,11:06:48 PM
336326,M,34,01-01-17,11:14:52 PM
336336,F,26,01-01-17,11:59:19 PM
336345,M,40,02-01-17,1:51:53 AM
336346,M,22,02-01-17,1:58:54 AM
336348,F,19,02-01-17,2:41:48 AM
336355,F,49,02-01-17,4:55:14 AM
336362,F,30,02-01-17,8:17:14 AM
336363,M,50,02-01-17,8:22:31 AM
336367,M,21,02-01-17,8:39:35 AM
336370,M,28,02-01-17,8:55:51 AM
336371,F,47,02-01-17,9:14:23 AM
336378,M,24,02-01-17,9:43:47 AM
336379,F,20,02-01-17,9:45:20 AM
336380,F,40,02-01-17,9:45:59 AM
336381,F,66,02-01-17,9:50:40 AM
336388,F,30,02-01-17,10:07:28 AM
336395,M,45,02-01-17,10:18:51 AM
336396,M,40,02-01-17,10:21:44 AM
336397,F,29,02-01-17,10:24:09 AM
336399,F,24,02-01-17,10:28:19 AM
336400,F,62,02-01-17,10:31:50 AM
336404,M,31,02-01-17,10:40:36 AM
336406,M,56,02-01-17,10:42:07 AM
336413,M,58,02-01-17,10:56:07 AM
336414,M,45,02-01-17,10:58:57 AM
336421,M,30,02-01-17,11:16:54 AM
336422,F,30,02-01-17,11:21:41 AM
336424,F,38,02-01-17,11:22:26 AM
336427,M,35,02-01-17,11:30:02 AM
336429,M,28,02-01-17,11:31:13 AM
336436,M,27,02-01-17,11:37:51 AM
336437,F,26,02-01-17,11:40:44 AM
336444,M,26,02-01-17,11:55:32 AM
336445,M,48,02-01-17,11:58:56 AM
336451,M,34,02-01-17,12:02:12 PM
336452,F,27,02-01-17,12:05:38 PM
336455,M,29,02-01-17,12:13:44 PM
336457,M,52,02-01-17,12:16:54 PM
336458,F,46,02-01-17,12:18:41 PM
