"ID_usuario","genero_usuario","edad_usuario","fecha_alta","hora_alta","Customer.Has.Dni..Yes...No."
"822795","FEMALE","39",2021-12-31,"16:23:23","Yes"
"822777","MALE","20",2021-12-31,"14:54:28","Yes"
"822752","FEMALE","26",2021-12-31,"12:25:00","Yes"
"822764","MALE","22",2021-12-31,"13:19:27","Yes"
"822707","MALE","31",2021-12-31,"01:55:09","Yes"
"822745","FEMALE","24",2021-12-31,"11:43:04","Yes"
"822727","MALE","33",2021-12-31,"10:06:24","Yes"
"822719","FEMALE","36",2021-12-31,"08:13:48","Yes"
"822836","FEMALE","21",2021-12-31,"21:01:14","Yes"
"822842","MALE","20",2021-12-31,"22:39:13","Yes"
"822710","FEMALE","22",2021-12-31,"02:02:24","Yes"
"822730","FEMALE","57",2021-12-31,"10:16:59","Yes"
"822736","MALE","20",2021-12-31,"11:22:00","Yes"
"822841","FEMALE","23",2021-12-31,"22:35:17","Yes"
"822742","OTHER","28",2021-12-31,"11:33:37","No"
"822828","MALE","22",2021-12-31,"20:00:08","Yes"
"822845","FEMALE","20",2021-12-31,"23:21:57","Yes"
"822768","MALE","31",2021-12-31,"13:46:43","Yes"
"822824","MALE","33",2021-12-31,"19:33:46","Yes"
"822724","FEMALE","39",2021-12-31,"09:22:17","Yes"
"822809","OTHER","30",2021-12-31,"17:23:21","No"
"822718","FEMALE","24",2021-12-31,"08:12:25","Yes"
"822701","FEMALE","31",2021-12-31,"00:42:06","Yes"
"822798","OTHER","35",2021-12-31,"16:29:00","No"
"822740","FEMALE","29",2021-12-31,"11:30:28","Yes"
"822776","MALE","40",2021-12-31,"14:53:19","Yes"
"822698","FEMALE","56",2021-12-31,"00:21:13","Yes"
"822711","MALE","22",2021-12-31,"02:07:28","Yes"
"822807","MALE","30",2021-12-31,"17:13:16","Yes"
"822753","OTHER","36",2021-12-31,"12:29:05","No"
"822769","OTHER","28",2021-12-31,"14:09:47","No"
"822761","OTHER","25",2021-12-31,"13:07:25","No"
"822827","MALE","30",2021-12-31,"19:56:01","Yes"
"822823","MALE","19",2021-12-31,"19:27:38","Yes"
"822739","OTHER","32",2021-12-31,"11:29:35","No"
"822757","OTHER","31",2021-12-31,"12:41:22","No"
"822825","FEMALE","25",2021-12-31,"19:42:17","Yes"
"822712","MALE","26",2021-12-31,"02:46:48","Yes"
"822725","MALE","43",2021-12-31,"09:24:41","Yes"
"822787","MALE","68",2021-12-31,"15:56:38","Yes"
"822844","MALE","33",2021-12-31,"22:59:34","Yes"
"822728","FEMALE","25",2021-12-31,"10:06:56","Yes"
"822702","MALE","23",2021-12-31,"01:07:32","Yes"
"822770","MALE","27",2021-12-31,"14:19:21","Yes"
"822771","OTHER","37",2021-12-31,"14:19:26","No"
"822704","MALE","20",2021-12-31,"01:13:37","Yes"
"822843","MALE","28",2021-12-31,"22:56:04","Yes"
"822744","FEMALE","19",2021-12-31,"11:42:39","Yes"
"822804","OTHER","27",2021-12-31,"16:51:11","No"
"822721","MALE","26",2021-12-31,"08:26:36","Yes"
"822699","MALE","24",2021-12-31,"00:32:07","Yes"
"822715","MALE","29",2021-12-31,"04:47:58","Yes"
"822763","FEMALE","50",2021-12-31,"13:14:24","Yes"
"822738","MALE","21",2021-12-31,"11:29:26","Yes"
"822831","MALE","24",2021-12-31,"20:19:36","Yes"
"822733","OTHER","47",2021-12-31,"10:53:27","Yes"
"822708","OTHER","32",2021-12-31,"02:01:01","No"
"822785","FEMALE","40",2021-12-31,"15:32:52","Yes"
"822789","FEMALE","41",2021-12-31,"16:10:46","Yes"
"822729","OTHER","23",2021-12-31,"10:11:51","No"
"822762","OTHER","27",2021-12-31,"13:11:59","No"
"822750","MALE","27",2021-12-31,"12:15:24","Yes"
"822816","OTHER","39",2021-12-31,"18:16:11","No"
"822837","MALE","41",2021-12-31,"21:08:32","Yes"
"822820","MALE","36",2021-12-31,"18:55:28","Yes"
"822778","MALE","31",2021-12-31,"14:55:43","Yes"
"822817","FEMALE","43",2021-12-31,"18:35:50","Yes"
"822822","MALE","26",2021-12-31,"19:25:43","Yes"
"822794","OTHER","30",2021-12-31,"16:22:40","No"
"822838","MALE","33",2021-12-31,"21:36:36","No"
"822759","FEMALE","20",2021-12-31,"13:00:05","Yes"
"822734","MALE","29",2021-12-31,"11:06:43","Yes"
"822813","FEMALE","29",2021-12-31,"17:59:19","Yes"
"822773","MALE","36",2021-12-31,"14:34:18","Yes"
"822805","MALE","28",2021-12-31,"16:52:43","Yes"
"822697","MALE","30",2021-12-31,"00:19:14","Yes"
"822803","MALE","25",2021-12-31,"16:45:51","Yes"
"822754","MALE","46",2021-12-31,"12:31:39","Yes"
"822767","MALE","22",2021-12-31,"13:43:07","Yes"
"822779","OTHER","26",2021-12-31,"14:55:59","No"
"822755","FEMALE","42",2021-12-31,"12:32:03","Yes"
"822747","MALE","75",2021-12-31,"11:52:02","Yes"
"822780","OTHER","22",2021-12-31,"15:09:14","No"
"822775","OTHER","24",2021-12-31,"14:50:19","No"
"822797","MALE","29",2021-12-31,"16:28:35","Yes"
"822743","OTHER","35",2021-12-31,"11:36:52","No"
"822722","OTHER","56",2021-12-31,"08:30:54","No"
"822696","OTHER","24",2021-12-31,"00:17:15","No"
"822834","MALE","23",2021-12-31,"20:39:44","Yes"
"822756","OTHER","33",2021-12-31,"12:39:31","No"
"822746","OTHER","36",2021-12-31,"11:49:37","No"
"822737","MALE","55",2021-12-31,"11:24:16","Yes"
"822748","OTHER","35",2021-12-31,"12:14:44","No"
"822741","OTHER","30",2021-12-31,"11:33:18","No"
"822758","MALE","32",2021-12-31,"12:48:09","Yes"
"822720","OTHER","25",2021-12-31,"08:23:27","No"
"822782","OTHER","24",2021-12-31,"15:11:35","No"
"822786","MALE","36",2021-12-31,"15:54:20","Yes"
"822732","OTHER","53",2021-12-31,"10:39:16","No"
"822765","FEMALE","40",2021-12-31,"13:35:06","Yes"
"822810","OTHER","32",2021-12-31,"17:27:36","No"
"822723","MALE","42",2021-12-31,"09:09:30","Yes"
"822791","FEMALE","24",2021-12-31,"16:17:11","Yes"
"822801","OTHER","37",2021-12-31,"16:40:36","No"
"822714","FEMALE","42",2021-12-31,"03:19:59","Yes"
"822784","FEMALE","28",2021-12-31,"15:14:06","Yes"
"822716","FEMALE","20",2021-12-31,"06:49:07","Yes"
"822830","MALE","29",2021-12-31,"20:16:25","No"
"822800","OTHER","32",2021-12-31,"16:33:42","No"
"822846","MALE","31",2021-12-31,"23:41:01","Yes"
"822760","MALE","31",2021-12-31,"13:05:42","Yes"
"822802","MALE","50",2021-12-31,"16:45:30","Yes"
"822731","MALE","52",2021-12-31,"10:38:05","Yes"
"822749","FEMALE","29",2021-12-31,"12:15:17","Yes"
"822774","OTHER","24",2021-12-31,"14:48:51","No"
"822832","FEMALE","39",2021-12-31,"20:35:55","Yes"
"822717","MALE","37",2021-12-31,"07:08:47","Yes"
"822826","MALE","21",2021-12-31,"19:47:40","Yes"
"822796","OTHER","40",2021-12-31,"16:28:12","No"
"822788","MALE","30",2021-12-31,"15:57:04","Yes"
"822806","FEMALE","30",2021-12-31,"17:11:33","No"
"822811","MALE","26",2021-12-31,"17:39:32","Yes"
"822819","FEMALE","29",2021-12-31,"18:54:17","Yes"
"822792","MALE","28",2021-12-31,"16:19:24","Yes"
"822814","OTHER","38",2021-12-31,"18:10:25","No"
"822812","MALE","21",2021-12-31,"17:41:47","Yes"
"822783","MALE","40",2021-12-31,"15:12:03","Yes"
"822709","MALE","45",2021-12-31,"02:01:55","Yes"
"822713","MALE","25",2021-12-31,"02:49:10","Yes"
"822772","OTHER","46",2021-12-31,"14:26:39","No"
"822818","FEMALE","28",2021-12-31,"18:46:41","Yes"
"822705","FEMALE","25",2021-12-31,"01:25:05","Yes"
"822839","MALE","54",2021-12-31,"22:23:17","Yes"
"822726","FEMALE","22",2021-12-31,"10:01:58","Yes"
"822790","MALE","39",2021-12-31,"16:15:34","Yes"
"822815","MALE","27",2021-12-31,"18:13:02","Yes"
"822793","FEMALE","21",2021-12-31,"16:21:54","Yes"
"822700","FEMALE","36",2021-12-31,"00:40:02","Yes"
"822735","MALE","42",2021-12-31,"11:10:58","Yes"
"822821","FEMALE","38",2021-12-31,"18:58:19","Yes"
"822799","MALE","25",2021-12-31,"16:33:21","Yes"
"822781","OTHER","26",2021-12-31,"15:10:14","No"
"822706","MALE","19",2021-12-31,"01:47:00","Yes"
"822829","OTHER","53",2021-12-31,"20:14:58","Yes"
"822751","OTHER","46",2021-12-31,"12:20:29","No"
